blockNumber,timeStamp,from,to,value,contractAddress,input,type,gas,gasUsed,isError,errCode,txType,txHash
11726665,1611601380,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xaf0a955d5807bd3f9153c1e51be5855a56c49077,1999000000000000000,,,call,4600,0,0,,takeBuyPrice,0x5ea6c4b40233f55c8e6cd296dff2e7c1e303a96951c0817f4818c717f8372666
11726665,1611601380,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x23c0bae29b2c92d90ebdf2b78ff86f1cb1bb667d,17791100000000000000,,,call,4600,0,0,,takeBuyPrice,0x5ea6c4b40233f55c8e6cd296dff2e7c1e303a96951c0817f4818c717f8372666
11727850,1611617221,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,10000000000000000,,,call,4600,0,0,,acceptBid2,0x881467fb96ccb0aa448d4b51e0bbdb1e321c60c8d05f08aed6b09da7929a3845
11727850,1611617221,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xaf0a955d5807bd3f9153c1e51be5855a56c49077,50000000000000000,,,call,4600,0,0,,acceptBid2,0x881467fb96ccb0aa448d4b51e0bbdb1e321c60c8d05f08aed6b09da7929a3845
11727850,1611617221,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x687d2220075b787fbce0ae2813f9030d3a7e3f08,50000000000000000,,,call,4600,0,0,,acceptBid2,0x881467fb96ccb0aa448d4b51e0bbdb1e321c60c8d05f08aed6b09da7929a3845
11727850,1611617221,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x5a6e40b29bf20e4f60e7becb571af5ad5796a3c4,890000000000000000,,,call,4600,0,0,,acceptBid2,0x881467fb96ccb0aa448d4b51e0bbdb1e321c60c8d05f08aed6b09da7929a3845
11728301,1611623508,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,50000000000000000,,,call,4600,0,0,,acceptBid2,0x79f78c29a5549bb25351cbdd9f239c7b958e371ecaf0c484b1e7418f14706d41
11728301,1611623508,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,200000000000000000,,,call,4600,0,0,,acceptBid2,0x79f78c29a5549bb25351cbdd9f239c7b958e371ecaf0c484b1e7418f14706d41
11732826,1611683580,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,100000000000000000,,,call,4600,0,0,,acceptBid2,0x2ca71fd55887d304c58a614bd00fa18243d48931930e95099ffceb562c822811
11732826,1611683580,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xf91569595bcdaf780c3f1662f204e157949af8b2,900000000000000000,,,call,4600,0,0,,acceptBid2,0x2ca71fd55887d304c58a614bd00fa18243d48931930e95099ffceb562c822811
11750657,1611921351,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,30000000000000000,,,call,4600,0,0,,acceptBid2,0xb44e45f5518dfd2bf56dcdbe0fedb638072d8c3f888238b330b83407a8bf1585
11750657,1611921351,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x84300dcc7ca9cf447e886fa17c11fa22557d1af0,270000000000000000,,,call,4600,0,0,,acceptBid2,0xb44e45f5518dfd2bf56dcdbe0fedb638072d8c3f888238b330b83407a8bf1585
11750658,1611921370,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,30000000000000000,,,call,4600,0,0,,acceptBid2,0xe0463a280463b6167b68ca6d81a95b16ed18fc7dc5f64910ff17a4e9f63da9b4
11750658,1611921370,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x84300dcc7ca9cf447e886fa17c11fa22557d1af0,270000000000000000,,,call,4600,0,0,,acceptBid2,0xe0463a280463b6167b68ca6d81a95b16ed18fc7dc5f64910ff17a4e9f63da9b4
11750661,1611921378,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,30000000000000000,,,call,4600,0,0,,acceptBid2,0x845f7323f6759b022a02feb30bb842f707fd0abff3069f3f9746d5f67fe97f5a
11750661,1611921378,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x84300dcc7ca9cf447e886fa17c11fa22557d1af0,270000000000000000,,,call,4600,0,0,,acceptBid2,0x845f7323f6759b022a02feb30bb842f707fd0abff3069f3f9746d5f67fe97f5a
11750665,1611921410,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,20000000000000000,,,call,4600,0,0,,acceptBid2,0x3ac9478bb86c84b631902710ed96339b259f518f77bf5113b68e24d64863e1e8
11750665,1611921410,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xaf0a955d5807bd3f9153c1e51be5855a56c49077,90000000000000000,,,call,4600,0,0,,acceptBid2,0x3ac9478bb86c84b631902710ed96339b259f518f77bf5113b68e24d64863e1e8
11750665,1611921410,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x84300dcc7ca9cf447e886fa17c11fa22557d1af0,90000000000000000,,,call,4600,0,0,,acceptBid2,0x3ac9478bb86c84b631902710ed96339b259f518f77bf5113b68e24d64863e1e8
11752246,1611942731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,30000000000000000,,,call,4600,0,0,,acceptBid2,0x1e0a5880b8a058b7868e5ec4c2820aa33e602abc0a57587437f98cdd6bbd95c2
11752246,1611942731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x84300dcc7ca9cf447e886fa17c11fa22557d1af0,270000000000000000,,,call,4600,0,0,,acceptBid2,0x1e0a5880b8a058b7868e5ec4c2820aa33e602abc0a57587437f98cdd6bbd95c2
